nominee,country,count
,Afghanistan,9
,Palestine,8
,Ukraine,8
,United Kingdom,8
,United States,7
,Egypt,4
,India,4
,Italy,4
,Libya,4
,Sweden,4
,Canada,3
,Central African Rep.,3
,Iraq,3
,Israel,3
,Lebanon,3
,Dem. Rep. Korea,3
,Pakistan,3
,S. Sudan,3
,Turkey,3
,Bangladesh,2
,Bulgaria,2
,Guatemala,2
,Kenya,2
,Morocco,2
,Myanmar,2
,Russia,2
,Rwanda,2
,Spain,2
,Tunisia,2
,Yemen,2
,Iran,2
,Belgium,1
,Brazil,1
,Dem. Rep. Congo,1
,Guinea,1
,Jordan,1
,Kosovo,1
,Liberia,1
,Madagascar,1
,Moldova,1
,Montenegro,1
,Nigeria,1
,Philippines,1
,Poland,1
,Qatar,1
,Romania,1
,Saudi Arabia,1
,Serbia,1
,Sierra Leone,1
,Somalia,1
,Sri Lanka,1
,United Arab Emirates,1
,Syria,12
